Device name: DESKTOP-54UO011
Date & time: 2023-04-13 14:12:53.685033
======================================================
datetime,window_title,data_ID,logged_data
2023-04-13 14:21:48.453769,B2C5 PI6 - Casusdocumentatie.docx - Word,0,waarin de meegegevn da[BACKSPACE][BACKSPACE][BACKSPACE][BACKSPACE]en datum en tijd ouder is ad[BACKSPACE][BACKSPACE]dan de meest recente datum en tijd i[BACKSPACE]binnen de database.[CTRL]sright[SHIFT]Projectgroep [SHIFT]Trojanrightupleftdown[CTRL][SHIFT]rightrightcup[CTRL]vright[SHIFT]N.v.t.down[SHIFT][SHIFT]N.v.t.[CTRL]ssssssssssss
2023-04-13 14:22:55.433115,B2C5 PI6 - Casusdocumentatie.docx - Word,1,"A. Database eisen (zijn mogelijk niet-functionele eisen, nog navragen aan docenten)
Eis ID	Codenaam	Prioriteit	Beschrijving	Bron	*Afhankelijk van eis(en)
A001		Must	De systeembeheerder moet direct of indirect toegang hebben tot de database.	Projectgroep Trojan	N.v.t.
A002		Must	De database mag niet meer dan 200 karakters opslaan voor clipboard data.	Projectgroep Trojan	N.v.t.
A003		Must	De database mag geen data accepteren waarin de meegegeven datum en tijd ouder is dan de meest recente datum en tijd binnen de database.	Projectgroep Trojan	N.v.t.
A004		Must			
A005		Should	Encryptie?		
A006		Could	Welke Database(s)?		
A007		Won’t	Users/Rollen?		
A008			Rechten?		
A009			Operaties/bewerkingen?		
A010					
A011			Hoe lang opslaan?		
A012			Verwijderen van data?		
A013					
A014					
"
2023-04-13 14:22:48.454053,B2C5 PI6 - Casusdocumentatie.docx - Word,0,[CTRL]x[CTRL]z[CTRL]x[CTRL]v[CTRL]sss
2023-04-13 14:23:48.454374,B2C5 PI6 - Casusdocumentatie.docx - Word,0,[CTRL]sssssssss
2023-04-13 14:24:08.268093,Desktop,0,No input available.
2023-04-13 14:24:08.269072,Nieuwe melding,0,No input available.
2023-04-13 14:24:08.495534,Task switching,0,No input available.
2023-04-13 14:24:08.509497,#general | Projectgroep Trojan - Discord,0,No input available.
2023-04-13 14:24:08.710535,#b2c5-security | ICT++ - Discord,0,[SHIFT][SHIFT][SHIFT][SHIFT][SHIFT][SHIFT][SHIFT][SHIFT][SHIFT][SHIFT][SHIFT][SHIFT][SHIFT][SHIFT][SHIFT][SHIFT]Nee[ENTER][SHIFT][SHIFT][SHIFT][SHIFT][SHIFT][SHIFT]Jullie hadden het gewoon moeten inleveren[ENTER][SHIFT]Ik heb echt 5x gezegd[ENTER]jongens vergeet reflectieverslag niet[ENTER]en wat doen jullie[ENTER]jullie vergeten het reflectieverlsag[BACKSPACE][BACKSPACE][BACKSPACE][BACKSPACE]slag[ENTER]soepkippen[ENTER]
2023-04-13 14:25:08.710634,#b2c5-security | ICT++ - Discord,0,No input available.
2023-04-13 14:25:09.599801,Desktop,0,No input available.
2023-04-13 14:25:09.626768,Actiecentrum,0,No input available.
2023-04-13 14:25:13.273500,Desktop,0,No input available.
2023-04-13 14:25:13.273941,#b2c5-security | ICT++ - Discord,0,No input available.
2023-04-13 14:25:16.456736,Desktop,0,No input available.
2023-04-13 14:25:16.729954,Task switching,0,No input available.
2023-04-13 14:25:17.172585,#b2c5-security | ICT++ - Discord,0,No input available.
2023-04-13 14:25:17.571328,Desktop,0,No input available.
2023-04-13 14:25:17.798603,B2C5 PI6 - Casusdocumentatie.docx - Word,0,No input available.
2023-04-13 14:25:57.644339,Desktop,0,No input available.
2023-04-13 14:25:57.869182,#b2c5-security | ICT++ - Discord,0,[SHIFT][SHIFT][SHIFT][SHIFT][SHIFT][SHIFT]Ja[CTRL]a[SHIFT]Wij hebben het gewoon ingeleverd[ENTER]
2023-04-13 14:26:30.563831,Desktop,0,No input available.
2023-04-13 14:26:30.685899,Task switching,0,No input available.
2023-04-13 14:26:31.511097,Desktop,0,No input available.
2023-04-13 14:26:31.511097,#b2c5-security | ICT++ - Discord,0,bj m[CTRL]abij mij wel[ENTER]
2023-04-13 14:26:35.299680,Desktop,0,No input available.
2023-04-13 14:26:35.392881,Task switching,0,No input available.
2023-04-13 14:26:36.059494,Desktop,0,No input available.
2023-04-13 14:26:36.060513,Python Move Files Or Directories [5 Ways]– PYnative - Google Chrome,0,No input available.
2023-04-13 14:26:37.112286,Desktop,0,No input available.
2023-04-13 14:26:37.114796,#b2c5-security | ICT++ - Discord,0,ik heb het voor onze groep ingeleverd jasper[ENTER]geen ro[BACKSPACE][BACKSPACE]zy[BACKSPACE][BACKSPACE]stress[ENTER][SHIFT]Yvo[SHIFT]*[ENTER]week 7[ENTER]toen moest het ingeleverd zijn[ENTER]heeft [SHIFT]Roel toen nog gezegd[ENTER][SHIFT]Nee[ENTER]niet van de casus[ENTER]mbt de uitwerkingensets[ENTER]stond in het document op [SHIFT]Moodle...[ENTER][SHIFT][SHIFT]Het is een [SHIFT]REFLECTIE en [SHIFT]VOOTG[BACKSPACE][BACKSPACE]RTGANG verslag[ENTER]als in[ENTER]voortgang mbt wat je d[BACKSPACE]tot die tijd voor de casus en 
2023-04-13 14:27:37.115563,#b2c5-security | ICT++ - Discord,0,uitwerkingesets had gedaan[ENTER]en reflectie same[ENTER]
2023-04-13 14:27:51.420119,Desktop,0,No input available.
2023-04-13 14:27:51.421515,B2C5 PI6 - Casusdocumentatie.docx - Word,0,s[CTRL][CTRL][CTRL][CTRL][CTRL][CTRL][CTRL][CTRL][CTRL]zss
2023-04-13 14:28:05.285124,Desktop,0,No input available.
2023-04-13 14:28:05.527313,Task switching,0,No input available.
2023-04-13 14:28:05.966550,#b2c5-security | ICT++ - Discord,0,No input available.
2023-04-13 14:28:12.351869,Desktop,0,No input available.
2023-04-13 14:28:12.491062,Task switching,0,No input available.
2023-04-13 14:28:12.924354,#b2c5-security | ICT++ - Discord,0,No input available.
2023-04-13 14:28:28.720680,Desktop,0,No input available.
2023-04-13 14:28:28.721671,Nieuwe melding,0,No input available.
2023-04-13 14:28:28.872328,Task switching,0,No input available.
2023-04-13 14:28:28.881271,#b2c5-security | ICT++ - Discord,0,No input available.
2023-04-13 14:28:29.031197,Desktop,0,No input available.
2023-04-13 14:28:29.031823,Nieuwe melding,0,No input available.
2023-04-13 14:28:45.950059,Desktop,0,No input available.
2023-04-13 14:28:45.951056,#b2c5-security | ICT++ - Discord,0,No input available.
2023-04-13 14:28:49.940343,Desktop,0,No input available.
2023-04-13 14:28:50.052323,Task switching,0,No input available.
2023-04-13 14:28:51.211884,#b2c5-security | ICT++ - Discord,0,No input available.
2023-04-13 14:28:52.418158,#general | Projectgroep Trojan - Discord,0,No input available.
2023-04-13 14:28:55.426963,#casus | Projectgroep Trojan - Discord,0,[SHIFT]@Jasper[ENTER]achtergrond en dat dn[BACKSPACE]ing[ENTER]
2023-04-13 14:29:03.585059,#b2c5-security | ICT++ - Discord,0,natuurlijk klopt wat ik zeg[ENTER]
2023-04-13 14:29:09.076920,#casus | Projectgroep Trojan - Discord,0,No input available.
2023-04-13 14:29:10.311552,#b2c5-security | ICT++ - Discord,0,No input available.
2023-04-13 14:29:13.242095,Desktop,0,No input available.
2023-04-13 14:29:13.370876,Task switching,0,No input available.
2023-04-13 14:29:13.920633,Desktop,0,No input available.
2023-04-13 14:29:13.921651,Python Move Files Or Directories [5 Ways]– PYnative - Google Chrome,0,No input available.
2023-04-13 14:29:24.441457,Desktop,0,No input available.
2023-04-13 14:29:24.583545,Task switching,0,No input available.
2023-04-13 14:29:25.027359,#b2c5-security | ICT++ - Discord,0,[SHIFT]Da's een fout[ENTER]prestatieoverview heeft vaker fout[ENTER][SHIFT]I*k niet[ENTER]prestatievo[BACKSPACE][BACKSPACE]overview[ENTER]
2023-04-13 14:30:25.028176,#b2c5-security | ICT++ - Discord,0,No input available.
2023-04-13 14:31:25.028764,#b2c5-security | ICT++ - Discord,0,[SHIFT]Nee[ENTER]jullie zij[CTRL]a[BACKSPACE][SHIFT][SHIFT][SHIFT][SHIFT][SHIFT][SHIFT][SHIFT][SHIFT][SHIFT][SHIFT][SHIFT][SHIFT][SHIFT][SHIFT][SHIFT]Wat een pestgedrag[ENTER][SHIFT]Ik snap het al jongens[ENTER][SHIFT]
2023-04-13 14:32:25.028923,#b2c5-security | ICT++ - Discord,0,"In de toekomst als iemand mijn hulp vraagt[ENTER]dan zeg ik niet [BACKSPACE]s meer[ENTER][SHIFT]Sop het je maar aop[ENTER][SHIFT][SHIFT]Keano help[CTRL][BACKSPACE]is g[CTRL][BACKSPACE][BACKSPACE][BACKSPACE][SHIFT]Keano's villain arc begint nu[ENTER][SHIFT]Ik[BACKSPACE][BACKSPACE][SHIFT][SHIFT][SHIFT][SHIFT]Bek houden, [SHIFT]Efdal [SHIFT]![ENTER][SHIFT]Heel vaak[ENTER][SHIFT]Vraag maar aan [SHIFT]Milan[ENTER][SHIFT]want [CTRL]a[BACKSPACE][SHIFT]Ik heb net [SHIFT]die jongen geholpen in onze klas[ENTER]zu j[CTRL]azou je heb gewe[CTRL][BACKSPACE][BACKSPACE]ben ge"
